linux命令,别名或多个别名,注释
# 注意！：这里只收录系统管理和常用命令，对于特定应用尤其是对特定文件操作的程序不收录,,
# 常见,,
# Get 表示获得信息,,
# Set 表示设置信息,,
# UnSet 取消设置,,
# Edit 表示图形化或交互式编辑,,
# Del 表示删除,,
# Add 表示添加,,
# Find 寻找，专指在文本、集合、文件中寻找指定信息,,
,,
# 特例,,
# Kill 专指杀死进程相关,,
# Copy 复制,,
# Move 移动，重命名,,
# Check 检查,,
# Enable 启用,,
# Disable 不启用,,
# Make 制作,,
,,
,,
# 常用别名,,
ls -CF,l,
ls -A,la,
ls -alF,ll,
man,H,
type,T,
,,
,,
clear,Clear-Content,
cp,Copy-Item,
cp -r,Copy-Dir,
echo,Write-Output,
rm,Del-Item,
rm -r -I,Del-Dir,
mv,Move-Item,
,,
# ip相关别名,,
ip link show,Get-NetInterFace,
ip link set,Set-NetInterFace,
ip addr show;nmcli,Get-IP,
ip addr show;nmcli,Get-IPAddress,
ip addr add,Set-IPAddress,
ip addr del,Del-IPAddress,
dhclient -r,Get-DHCPRelease,释放DHCP的IP
dhclient,Get-DHCPIP,向DHCP获得IP
dig;host;nslookup,Get-IP-ByDNS,获得域名的ip
,,
# 文本相关,,
grep,Find-Text,搜索文本，支持正则
fgrep,Find-Text-Fast,搜索文本，不支持正则
egrep,Find-Text-Extended,搜索文本，支持扩展正则
,,
# 别名相关,,
alias,Get-Alias,
alias,Set-Alias,
alias,Get-AnotherName,
alias,Set-AnotherName,
unalias,UnSet-Alias,
unalias,UnSet-AnotherName,
,,
type,Get-CommandType,
,,
apropos,Find-CommandName-ByManPage,
whatis,Get-CommandInfo,
man,Get-CommandManPage,
,,
arch,Get-HardwareName,获得硬件平台名
,,
# 计划任务,,
# 一次或短期用at,,
at,Set-AtJob,
batch,Set-AtJob-LoadLevelsPermit,在系统不繁忙的时候执行定时任务
atq,Get-AtJob,
atrm,Del-AtJob,
# 长期用crond守护进程,,
crontab,Set-CrondFile,
,,
,,
# 进程管理,,
top;atop;htop,Get-Process-BySecond,
,,
# 下载,,
curl,Get-Url,
wget,Get-Download,
axel,Get-Download-Multithreading,
,,
# 后台程序管理,,
bg,Add-Background,把程序放入后台，可以使用命令后使用&达到相同的效果
jobs,Get-Background,
fg,Add-Foreground,
,,
bind,Get-FishKey,查看控制台键盘快捷键
,,
# 块设备 不包括闪存,,
blkid -o list,Get-BlockDevice,获得块设备列表
blockdev --getro,Get-BlockDevice-ReadOnlyState,获得块设备是否只读
blockdev --setro,Set-BlockDeviceState-ReadOnly,设置块设备只读
blockdev --setrw,Set-BlockDeviceState-ReadWrite,设置块设备可读写
,,
lsblk --perms -a,Get-BlockDevice-Tree,树状图显示块设备
,,
modinfo,Get-Kernel-ModuleInfo,显示给定模块的详细信息
